id,hash,source,en,uk
da9f7ffe4eeb87a5008f,4773e1ba7746bccde9e600ac3abb715ab61868ac,CCAligned,appeal to those who united all those who opposed Magyarization Ruthenians.,"тим закликом, який об’єднував усіх, хто виступав проти мадяризації русинів."
f083fc6cf0fd375526f2,2af92ba457bcf166cd9f1bad78f0a04782f2978f,CCAligned,Partners,Контактори
b11c42aa3557f3022982,627af443c5ade76c682f9363c7499cf370207476,CCMatrix,How many eggs can be consumed per week: unexpected conclusions,Скільки можна вживати яєць на тиждень: неочікувані висновки
0aac4bd9de9f0cd0596b,20af7bb6971f087b4f24782699aa158f0187514a,CCMatrix,"Its truly said that ,”A book is the only gift that can be opened again and again.”","Правий був поет: «Талант — єдина новина, що завжди нова»."
adb7bcd2485e810bf44a,db714b9d220b9460a013913641ebcd944cf3daf6,CCMatrix,"And by picking music you like, you can listen to the same material over and over again, without becoming bored","І, підбираючи музику, яка вам подобається, ви можете слухати той самий матеріал знову і знову, не нудьгуючи."
dc7a5d377222d6207817,5fed58786510ad0682b40692d488475832666b77,CCMatrix,"“There are too few opportunities to promote the exchange of best practices in this quickly changing field, especially with such distinguished guests and foreign partners.","“Є дуже мало можливостей обміну кращими практиками в цій швидкозмінній галузі, особливо з такими видатними гостями та іноземними партнерами."
6cac0690aa69c74e2903,df12d705e368f959fcf73a64f38e748973d5efee,CCMatrix,Analysts of international rating Agency Moody’s predicts the continuation and tightening of a trade war between the US and China and the introduction by both parties of all the new measures.,Аналітики міжнародного рейтингового агентства Moody`s прогнозують продовження і посилення торгової війни між США і Китаєм і введення обома сторонами все нових заходів.
94c41d1737db26ed4a7c,b2ca5f8629a7b5fb2477fa68c53f496a42add35f,CCMatrix,"However, this is also one of the reasons why many people are here in the warm season, especially on weekends.","Проте це також одна з причин, чому в теплу пору тут багато людей, особливо на вихідних."
e96609c223c483eccdb9,d9b5deb24c0ce29dae61acabc49c7a5efdd2e29d,CCMatrix,"“That notorious mythical image of a Roma thief affected my own life, too,” she said.","«Цей горезвісний міфічний образ ромського злодія вплинув також і на моє власне життя», — сказала вона."
64286dfc8704c932c284,c0cba93840432e5476f93796ed6222493492293f,CCMatrix,"However, soon, already in 1988, he again brought the company’s shares to the exchange.","Однак незабаром, вже в 1988-му, він знову вивів акції фірми на біржу."
